link,name,price,mrp,dicount-value,discount,delivery-text-msg,rating-text,rating-text-icon,rating-text-icon 2,img,not-available-text,delivery-pincode-text,site
https://www.croma.com/faber-hood-cygnus-in-3d-hc-sc-fl-bk-90cm-1400m3-hr-ducted-auto-clean-wall-mounted-chimney-with-odor-sensor-black-/p/273793,FABER Hood Cygnus IN 3D HC SC FL BK 90cm 1400m3/hr Ducted Auto Clean Wall Mounted Chimney with Odor Sensor (Black),"₹25,389","₹39,000","(Save ₹13,611)",35% Off,"Standard Delivery by Thur, 29th Aug",,,,,,,Croma
https://www.croma.com/faber-florence-fl-sc-ac-bk-60cm-1200m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-gesture-control-black-/p/269234,FABER FLORENCE FL SC AC BK 60cm 1200m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch & Gesture Control (Black),"₹12,749","₹24,990","(Save ₹12,241)",49% Off,"Standard Delivery by Thur, 29th Aug",5,(),2,,,,Croma
https://www.croma.com/faber-sunny-in-hc-sc-fl-lg-60cm-1200m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-gesture-control-black-/p/271362,FABER SUNNY IN HC SC FL LG 60cm 1200m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch & Gesture Control (Black),"₹14,589","₹26,990","(Save ₹12,401)",46% Off,"Standard Delivery by Thur, 29th Aug",5,(),1,,,,Croma
https://www.croma.com/faber-sunny-in-hc-sc-fl-lg-90cm-1200m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-gesture-control-black-/p/271363,FABER SUNNY IN HC SC FL LG 90cm 1200m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch & Gesture Control (Black),"₹16,189","₹29,990","(Save ₹13,801)",46% Off,"Standard Delivery by Thur, 29th Aug",4.5,(),2,,,,Croma
https://www.croma.com/faber-superia-ht764-br-ai-toughened-glass-top-4-burner-automatic-gas-hob-fully-concealed-drip-tray-black-/p/300383,"FABER SUPERIA HT764 BR AI Toughened Glass Top 4 Burner Automatic Gas Hob (Fully Concealed Drip Tray, Black)","₹17,690","₹25,790","(Save ₹8,100)",31% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057767/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/300383_0_vzkawe.png?tr=w-400,,,Croma
https://www.croma.com/faber-remo-3bb-bk-toughened-glass-top-3-burner-manual-gas-stove-premium-quality-knob-black-/p/245407,"Faber Remo 3BB BK Toughened Glass Top 3 Burner Manual Gas Stove (Premium Quality Knob, Black)","₹8,609","₹10,990","(Save ₹2,381)",22% Off,"Standard Delivery by Thur, 29th Aug",3.5,(),8,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055174/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/245407_0_ebweea.png?tr=w-400,,,Croma
https://www.croma.com/faber-hood-cygnus-75cm-1400m3-hr-ducted-auto-clean-wall-mounted-chimney-with-odor-sensor-black-/p/273792,FABER Hood Cygnus 75cm 1400m3/hr Ducted Auto Clean Wall Mounted Chimney with Odor Sensor (Black),"₹22,889","₹37,000","(Save ₹14,111)",38% Off,"Standard Delivery by Thur, 29th Aug",5,(),1,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1703080576/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/273792_0_oh4zln.png?tr=w-400,,,Croma
https://www.croma.com/faber-zenith-fl-sc-ac-bk-90cm-1350m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-control-black-/p/230968,FABER ZENITH FL SC AC BK 90cm 1350m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch Control (Black),"₹26,999","₹41,990","(Save ₹14,991)",36% Off,"Standard Delivery by Thur, 29th Aug",4.8,(),15,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721141199/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/230968_0_opt71h.png?tr=w-400,,,Croma
https://www.croma.com/faber-jumbo-3bb-bk-toughened-glass-top-3-burner-manual-gas-stove-corrosion-resistance-black-/p/210984,"Faber Jumbo 3BB BK Toughened Glass Top 3 Burner Manual Gas Stove (Corrosion Resistance, Black)","₹5,489","₹8,340","(Save ₹2,851)",34% Off,"Standard Delivery by Thur, 29th Aug",4.3,(),30,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057170/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210984_0_kur2k0.png?tr=w-400,,,Croma
https://www.croma.com/faber-onyx-3bb-bk-ci-glass-top-3-burner-manual-gas-stove-round-drip-tray-black-/p/217239,"Faber Onyx 3BB BK CI Glass Top 3 Burner Manual Gas Stove (Round Drip Tray, Black)","₹7,399","₹10,340","(Save ₹2,941)",28% Off,"Standard Delivery by Thur, 29th Aug",4.2,(),36,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721056760/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/217239_0_oaclmv.png?tr=w-400,,,Croma
