id,unique_name,croma_name,reliance_name,croma_link,croma_price,croma_mrp,croma_discount_value,croma_discount,croma_img,reliance_link,reliance_price,reliance_mrp,reliance_discount_value,reliance_discount,reliance_img
1,FABER FBIMWO CGS BK 25L,FABER FBIMWO CGS BK 25L Built-in Microwave Oven with 10 Autocook Menus (Black),"Faber 25 litres Convection Built-in Microwave Oven, FBIMWO 25L CGS BK",https://www.croma.com/faber-fbimwo-cgs-bk-25l-built-in-microwave-oven-with-10-autocook-menus-black-/p/193174,"₹46,399","₹54,990","(Save ₹8,591)",16% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1691179453/Croma%20Assets/Small%20Appliances/Microwave%20or%20OTG/Images/193174_0_vgwfag.png?tr=w-400,https://www.reliancedigital.in/faber-25-litres-convection-built-in-microwave-oven-fbimwo-25l-cgs-bk/p/491581624,"�40,620","₹49,990","(Save ₹9,370)",19% Off,/medias/Faber-FBIMWO-25-L-CGS-FG-Microwave-Ovens-491581624-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w3NDg5fGltYWdlL2pwZWd8aW1hZ2VzL2hhZS9oYTMvOTIxNTg4OTgzNDAxNC5qcGd8YTQxNmIwY2NkMGFjNjE3ZTExYjk4ZmE1NzRhZjlhNjNmODc3MDEzYTQwZjQ1YzQ0OTVjNmIzYTJjZDZjMGQyZA 
2,Faber Hood Vertigo 90cm 1200m3/hr,Faber Hood Vertigo 90cm 1200m3/hr Ducted Auto Clean Wall Mounted Chimney with Filterless Technology (Black),Faber Hood Vertigo 90cm 1200m3/hr Ducted Auto Clean Wall Mounted Chimney with Filterless Technology (Black),https://www.croma.com/faber-hood-vertigo-90cm-1200m3-hr-ducted-auto-clean-wall-mounted-chimney-with-filterless-technology-black-/p/273826,"₹18,004","₹33,990","(Save ₹15,986)",47% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721140938/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/273826_0_yevpns.png?tr=w-400,https://www.croma.com/faber-hood-vertigo-90cm-1200m3-hr-ducted-auto-clean-wall-mounted-chimney-with-filterless-technology-black-/p/273826,"₹18,004","₹33,990","(Save ₹15,986)",47% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721140938/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/273826_0_yevpns.png?tr=w-400
3,FABER HERCULES ISOLA DTC BK,FABER HERCULES ISOLA DTC BK 90cm 1000m3/hr Ducted Ceiling Mounted Chimney with Touch Control Panel (Black),FABER HERCULES ISOLA DTC BK 90cm 1000m3/hr Ducted Ceiling Mounted Chimney with Touch Control Panel (Black),https://www.croma.com/faber-hercules-isola-dtc-bk-90cm-1000m3-hr-ducted-ceiling-mounted-chimney-with-touch-control-panel-black-/p/268535,"₹54,644","₹62,990","(Save ₹8,346)",13% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690210120/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/268535_0_avlsve.png?tr=w-400,https://www.croma.com/faber-hercules-isola-dtc-bk-90cm-1000m3-hr-ducted-ceiling-mounted-chimney-with-touch-control-panel-black-/p/268535,"₹54,644","₹62,990","(Save ₹8,346)",13% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690210120/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/268535_0_avlsve.png?tr=w-400
4,FABER SUPERIA HT903 BR AI,"FABER SUPERIA HT903 BR AI Toughened Glass Top 3 Burner Automatic Gas Hob (Fully Concealed Drip Tray, Black)","FABER SUPERIA HT903 BR AI Toughened Glass Top 3 Burner Automatic Gas Hob (Fully Concealed Drip Tray, Black)",https://www.croma.com/faber-superia-ht903-br-ai-toughened-glass-top-3-burner-automatic-gas-hob-fully-concealed-drip-tray-black-/p/300384,"₹17,369","₹24,990","(Save ₹7,621)",31% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057915/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/300384_0_jm4anw.png?tr=w-400,https://www.croma.com/faber-superia-ht903-br-ai-toughened-glass-top-3-burner-automatic-gas-hob-fully-concealed-drip-tray-black-/p/300384,"₹17,369","₹24,990","(Save ₹7,621)",31% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057915/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/300384_0_jm4anw.png?tr=w-400
5,FABER SUPER 3D PLUS MAX,FABER SUPER 3D PLUS MAX T2S2 BK TC 60cm 1350m3/hr Ductless Wall Mounted Chimney with Touch Control Panel (Black),FABER SUPER 3D PLUS MAX T2S2 BK TC 60cm 1350m3/hr Ductless Wall Mounted Chimney with Touch Control Panel (Black),https://www.croma.com/faber-super-3d-plus-max-t2s2-bk-tc-60cm-1350m3-hr-ductless-wall-mounted-chimney-with-touch-control-panel-black-/p/232253,"₹20,514","₹28,990","(Save ₹8,476)",29% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690212204/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/232253_0_xhyd5x.png?tr=w-400,https://www.croma.com/faber-super-3d-plus-max-t2s2-bk-tc-60cm-1350m3-hr-ductless-wall-mounted-chimney-with-touch-control-panel-black-/p/232253,"₹20,514","₹28,990","(Save ₹8,476)",29% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690212204/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/232253_0_xhyd5x.png?tr=w-400
6,Faber Jumbo 3BB BK Toughened,"Faber Jumbo 3BB BK Toughened Glass Top 3 Burner Manual Gas Stove (Corrosion Resistance, Black)","Faber Jumbo 3BB BK Toughened Glass Top 3 Burner Manual Gas Stove (Corrosion Resistance, Black)",https://www.croma.com/faber-jumbo-3bb-bk-toughened-glass-top-3-burner-manual-gas-stove-corrosion-resistance-black-/p/210984,"₹5,489","₹8,340","(Save ₹2,851)",34% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057170/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210984_0_kur2k0.png?tr=w-400,https://www.croma.com/faber-jumbo-3bb-bk-toughened-glass-top-3-burner-manual-gas-stove-corrosion-resistance-black-/p/210984,"₹5,489","₹8,340","(Save ₹2,851)",34% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057170/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210984_0_kur2k0.png?tr=w-400
7,FABER Prince Plus Toughened Glass,"FABER Prince Plus Toughened Glass Top 3 Burner Manual Hob (Full Brass Burners, Black)","FABER Prince Plus Toughened Glass Top 3 Burner Manual Hob (Full Brass Burners, Black)",https://www.croma.com/faber-prince-plus-toughened-glass-top-3-burner-manual-hob-full-brass-burners-black-/p/305681,"₹9,929","₹12,990","(Save ₹3,061)",24% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055971/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/305681_0_zmre9i.png?tr=w-400,https://www.croma.com/faber-prince-plus-toughened-glass-top-3-burner-manual-hob-full-brass-burners-black-/p/305681,"₹9,929","₹12,990","(Save ₹3,061)",24% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055971/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/305681_0_zmre9i.png?tr=w-400
8,FABER Sportz 400 Watt 2,"FABER Sportz 400 Watt 2 Jars Mixer Grinder Blender (20000 RPM, Copper Motor, Silver)","FABER Sportz 400 Watt 2 Jars Mixer Grinder Blender (20000 RPM, Copper Motor, Silver)",https://www.croma.com/faber-sportz-400-watt-2-jars-mixer-grinder-blender-20000-rpm-copper-motor-silver-/p/306868,"₹2,590","₹4,999","(Save ₹2,409)",48% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1716816913/Croma%20Assets/Small%20Appliances/Food%20Preparation%20App/Images/306868_xw150d.png?tr=w-400,https://www.croma.com/faber-sportz-400-watt-2-jars-mixer-grinder-blender-20000-rpm-copper-motor-silver-/p/306868,"₹2,590","₹4,999","(Save ₹2,409)",48% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1716816913/Croma%20Assets/Small%20Appliances/Food%20Preparation%20App/Images/306868_xw150d.png?tr=w-400
9,FABER STILUX 3D T2S2 BK,FABER STILUX 3D T2S2 BK TC LTW 60cm 1095m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch Control Panel (Black),FABER STILUX 3D T2S2 BK TC LTW 60cm 1095m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch Control Panel (Black),https://www.croma.com/faber-stilux-3d-t2s2-bk-tc-ltw-60cm-1095m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-control-panel-black-/p/231598,"₹21,434","₹32,290","(Save ₹10,856)",34% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690210833/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/231598_0_jlxonq.png?tr=w-400,https://www.croma.com/faber-stilux-3d-t2s2-bk-tc-ltw-60cm-1095m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-control-panel-black-/p/231598,"₹21,434","₹32,290","(Save ₹10,856)",34% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690210833/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/231598_0_jlxonq.png?tr=w-400
12,FABER STILUX 3D T2S2 BK,FABER STILUX 3D T2S2 BK TC LTW 90cm 1095m3/hr Ducted Wall Mounted Chimney with Touch Control Panel (Black),FABER STILUX 3D T2S2 BK TC LTW 90cm 1095m3/hr Ducted Wall Mounted Chimney with Touch Control Panel (Black),https://www.croma.com/faber-stilux-3d-t2s2-bk-tc-ltw-90cm-1095m3-hr-ducted-wall-mounted-chimney-with-touch-control-panel-black-/p/215035,"₹24,219","₹39,490","(Save ₹15,271)",39% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690207415/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/215035_0_sdix0v.png?tr=w-400,https://www.croma.com/faber-stilux-3d-t2s2-bk-tc-ltw-90cm-1095m3-hr-ducted-wall-mounted-chimney-with-touch-control-panel-black-/p/215035,"₹24,219","₹39,490","(Save ₹15,271)",39% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690207415/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/215035_0_sdix0v.png?tr=w-400
